name,url,description,duration,test_type,adaptive_support,remote_support
"JavaScript Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/javascript-new/","Comprehensive JavaScript programming assessment for web developers",60,"Technical; Programming","Yes","Yes"
"HTML/CSS Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/","Frontend web development skills assessment covering HTML and CSS",45,"Technical; Programming","Yes","Yes"
"CSS3 Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/css3-new/","Advanced CSS3 skills assessment for modern web development",40,"Technical; Programming","Yes","Yes"
"Selenium Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/selenium-new/","Automated testing skills assessment using Selenium framework",50,"Technical; Testing","Yes","Yes"
"SQL Server Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/","Database management and SQL Server skills assessment",55,"Technical; Database","Yes","Yes"
"Automata SQL Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/","Advanced SQL programming and database optimization assessment",60,"Technical; Database","Yes","Yes"
"Manual Testing Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/","Software testing methodologies and manual testing skills assessment",45,"Technical; Testing","No","Yes"
"Administrative Professional Short Form","https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/","Administrative skills and office management capabilities assessment",30,"Administrative; Professional","No","Yes"
"Verify Numerical Ability","https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/","Numerical reasoning and mathematical problem-solving assessment",25,"Cognitive; Numerical","Yes","Yes"
"Financial Professional Short Form","https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/","Financial analysis and accounting skills assessment",35,"Financial; Professional","No","Yes"
"Bank Administrative Assistant Short Form","https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/","Banking operations and administrative skills assessment",30,"Banking; Administrative","No","Yes"
"Core Java Entry Level - New","https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/","Entry-level Java programming skills assessment",45,"Programming; Java","Yes","Yes"
"Java 8 Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/java-8-new/","Java 8 features and advanced programming concepts assessment",50,"Programming; Java","Yes","Yes"
"Core Java Advanced Level - New","https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/","Advanced Java programming and enterprise development assessment",60,"Programming; Java","Yes","Yes"
"Interpersonal Communications","https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/","Communication skills and interpersonal effectiveness assessment",25,"Soft Skills; Communication","No","Yes"
"Entry Level Sales 7-1","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/","Entry-level sales skills and customer interaction assessment",40,"Sales; Customer Service","No","Yes"
"Entry Level Sales Gift Out 7-1","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-gift-out-7-1/","Sales aptitude and customer relationship management assessment",35,"Sales; Customer Service","No","Yes"
"Entry Level Sales Solution","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/","Comprehensive sales skills and business acumen assessment",45,"Sales; Business","No","Yes"
"Sales Representative Solution","https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/","Professional sales representative skills and performance assessment",50,"Sales; Professional","No","Yes"
"Business Communication Adaptive","https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/","Business communication and professional writing skills assessment",30,"Communication; Business","Yes","Yes"
"Technical Sales Associate Solution","https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/","Technical sales expertise and product knowledge assessment",55,"Sales; Technical","No","Yes"
"English Comprehension - New","https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/","English language comprehension and reading skills assessment",30,"Language; Communication","No","Yes"
"Enterprise Leadership Report","https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/","Leadership potential and management capabilities assessment",45,"Leadership; Management","No","Yes"
"Occupational Personality Questionnaire OPQ32r","https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/","Comprehensive personality assessment for workplace behavior",25,"Personality; Behavioral","No","Yes"
"OPQ Leadership Report","https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/","Leadership style and management potential assessment",30,"Leadership; Personality","No","Yes"
"OPQ Team Types and Leadership Styles Report","https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/","Team dynamics and leadership effectiveness assessment",35,"Leadership; Team Management","No","Yes"
"Enterprise Leadership Report 2-0","https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/","Advanced leadership assessment for senior management roles",50,"Leadership; Executive","No","Yes"
"Global Skills Assessment","https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/","Cross-cultural competency and global business skills assessment",40,"Global; Cultural","No","Yes"
"Verify Verbal Ability Next Generation","https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/","Advanced verbal reasoning and language comprehension assessment",30,"Cognitive; Verbal","Yes","Yes"
"SHL Verify Interactive Inductive Reasoning","https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/","Interactive logical reasoning and pattern recognition assessment",35,"Cognitive; Logical","Yes","Yes"
"Marketing Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/marketing-new/","Marketing strategy and digital marketing skills assessment",45,"Marketing; Business","Yes","Yes"
"Professional 7-1 Solution","https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/","Professional competencies and workplace effectiveness assessment",60,"Professional; General","No","Yes"
"Python Assessment - New","https://www.shl.com/solutions/products/product-catalog/view/python-new/","Python programming and data analysis skills assessment",55,"Programming; Python","Yes","Yes"
"Microsoft Excel 365 - New","https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/","Advanced Excel skills and data analysis capabilities assessment",40,"Technical; Office","Yes","Yes"
"Microsoft Excel 365 Essentials - New","https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/","Essential Excel skills for business professionals assessment",30,"Technical; Office","Yes","Yes"
"Written English V1","https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/","Written English proficiency and business writing assessment",35,"Language; Communication","No","Yes"
"Writex Email Writing Sales - New","https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/","Sales email writing and customer communication assessment",25,"Communication; Sales","No","Yes"
"Latest browser options","https://browsehappy.com/","Online. Worry-free. Upgrade your browser today!",30,"General","No","Yes"
"Latest Jobs","https://www.shl.com/careers/jobs/","Latest Jobs from SHL in Gurgaon (India) Thames Ditton (UK), Sydney, Shanghai and worldwide.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Practice Tests","https://www.shl.com/shldirect/en/practice-tests/","SHL practice tests and example questions to help you prepare for an upcoming employment assessment.",30,"Cognitive; Personality; Ability; Situational","No","Yes"
"Practice Site & Advice","https://www.shl.com/shldirect/en/practice-tests/","SHL practice tests and example questions to help you prepare for an upcoming employment assessment.",30,"Cognitive; Personality; Ability; Situational","No","Yes"
"Occupational Personality Questionnaire (OPQ)","https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/","Our occupational personality questionnaire helps you to get accurate, bias-free assessments by matching individual working preferences to business requirements.",20,"Cognitive; Personality; Ability; Situational; Knowledge","Yes","Yes"
"Job-Focused Assessments (JFA)","https://www.shl.com/products/assessments/job-focused-assessments/","Measure the skills needed to succeed in any role with pre-packaged skills assessments. Fast and accurate measurement of job-relevant skills.",30,"Cognitive; Personality; Ability; Situational; Knowledge","Yes","Yes"
"Motivational Questionnaire (MQ)","https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/","Build an engaged, high-performing workforce using our motivation questionnaire (MQ) by matching individual employee motivation to team and organizational goals.",20,"Cognitive; Personality; Ability; Situational; Knowledge","Yes","Yes"
"Situational Judgment Tests (SJT)","https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/","Using our Situational Judgment Tests (SJT), you can measure candidates' behavioral fit to a given role by assessing their response to a specific work situation.",30,"Cognitive; Personality; Ability; Situational; Knowledge","Yes","Yes"
"SHL Verify","https://www.shl.com/products/assessments/cognitive-assessments/","Measure candidates' potential and ability to learn, adapt, and succeed in any role with SHL's cognitive ability tests and assessments.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Assessments","https://www.shl.com/products/assessments/","Our unmatched portfolio of talent assessment tools helps you to clearly map employees and their skills to specific business needs and outcomes.",30,"Cognitive; Personality; Ability; Situational; Knowledge","Yes","Yes"
"Behavioral Assessments","https://www.shl.com/products/assessments/behavioral-assessments/","SHL's behavioral assessments offer an engaging experience to candidates and help you to identify their behavioral fit to the roles.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Cognitive Assessments","https://www.shl.com/products/assessments/cognitive-assessments/","Measure candidates' potential and ability to learn, adapt, and succeed in any role with SHL's cognitive ability tests and assessments.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Personality Assessments","https://www.shl.com/products/assessments/personality-assessment/","Improve your hiring process with science-backed personality assessments that reveal each candidate’s preferences, motivations, and remote-work capability.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Skills & Simulations","https://www.shl.com/products/assessments/skills-and-simulations/","Measure practical application and knowledge to scale your search for highly skilled candidates using SHL's skills assessments tools and job simulations.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Call Center Simulations","https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/","SHL’s Call Center Simulations and assessment tool helps you to identify agents with the critical competencies and personality in a real-life call center environment.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Business Skills","https://www.shl.com/products/assessments/skills-and-simulations/business-skills/","With our computer literacy test, assess candidates' Microsoft Office proficiency, such as working with graphs and charts, creating presentations, and more.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Coding Simulations","https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/","Shortlist 45% more candidates within half the usual hiring time with our coding skills assessment for full stack, data engineering, front-end and more roles.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Technical Skills","https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/","SHL Technical Skills assessment helps you to measure knowledge of 180+ technology concepts in less than 15 minutes for Full Stack, Front-end, Data Science, DevOps, and more roles.",15,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Language Evaluation","https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/","SHL’s AI-powered suite of communication and language proficiency tests automates language assessment, helping you to faster find and hire the right people.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"View all SHL Products
Get the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology.","https://www.shl.com/products/","SHL products have been carefully designed to produce highly reusable data and to enhance all stages of the talent experience that drive performance and retention.",30,"Cognitive; Personality; Ability; Situational; Knowledge","Yes","Yes"
"SHL Certification (OPQ/Verify)","https://www.shl.com/solutions/services/training-services/personality-and-ability-assessment-training/","Upon successful completion of this training, you will be certified to administer, interpret, and provide feedback on ability tests and personality assessments.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Outsourced Assessments (VADC)","https://www.shl.com/products/assessments/assessment-and-development-centers/","Our end-to-end virtual assessment and development centers provide the most efficient and accurate way of identifying potential from anywhere in the world.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"HR Priorities
Explore the latest HR priorities and insights on workforce trends.","https://www.shl.com/hr-priorities/","SHL monitors talent trends through partnerships with organizations around the world. Discover evolving HR Priorities and workforce trends.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Read Paper","https://www.shl.com/resources/by-type/whitepapers-and-reports/ai-in-talent-assessment-transparency-trust-and-responsible-innovation/","How transparent and responsible AI is shaping talent assessment, helping HR teams improve accuracy, efficiency and candidate experience.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Latest Jobs","https://www.shl.com/careers/jobs/","Latest Jobs from SHL in Gurgaon (India) Thames Ditton (UK), Sydney, Shanghai and worldwide.",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Practice Tests","https://www.shl.com/shldirect/en/practice-tests/","SHL practice tests and example questions to help you prepare for an upcoming employment assessment.",30,"Cognitive; Personality; Ability; Situational","No","Yes"
"Practice Site & Advice","https://www.shl.com/shldirect/en/practice-tests/","SHL practice tests and example questions to help you prepare for an upcoming employment assessment.",30,"Cognitive; Personality; Ability; Situational","No","Yes"
"Apprentice + 8.0 Job Focused Assessment","https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/","Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Apprentice 8.0 Job Focused Assessment","https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/","Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",30,"Cognitive; Personality; Ability; Situational; Knowledge","No","Yes"
"Practice Tests","https://www.shl.com/shldirect/en/practice-tests/","SHL practice tests and example questions to help you prepare for an upcoming employment assessment.",30,"Cognitive; Personality; Ability; Situational","No","Yes"
"Advanced Numerical Reasoning Test - Sales","https://www.shl.com/assessments/advanced-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at advanced level",26,"Cognitive; Ability","No","Yes"
"Advanced Numerical Reasoning Test - Management","https://www.shl.com/assessments/advanced-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at advanced level",25,"Cognitive; Ability","No","Yes"
"Advanced Numerical Reasoning Test - Technical","https://www.shl.com/assessments/advanced-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at advanced level",40,"Cognitive; Ability","No","Yes"
"Advanced Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/advanced-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at advanced level",41,"Cognitive; Ability","No","Yes"
"Advanced Numerical Reasoning Test - Finance","https://www.shl.com/assessments/advanced-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at advanced level",30,"Cognitive; Ability","No","Yes"
"Advanced Numerical Reasoning Test - HR","https://www.shl.com/assessments/advanced-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at advanced level",35,"Cognitive; Ability","No","Yes"
"Advanced Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/advanced-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at advanced level",28,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - Sales","https://www.shl.com/assessments/professional-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at professional level",38,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - Management","https://www.shl.com/assessments/professional-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at professional level",34,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - Technical","https://www.shl.com/assessments/professional-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at professional level",39,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/professional-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at professional level",28,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - Finance","https://www.shl.com/assessments/professional-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at professional level",31,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - HR","https://www.shl.com/assessments/professional-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at professional level",43,"Cognitive; Ability","No","Yes"
"Professional Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/professional-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at professional level",42,"Cognitive; Ability","No","Yes"
"Executive Numerical Reasoning Test - Sales","https://www.shl.com/assessments/executive-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at executive level",28,"Cognitive; Ability","Yes","Yes"
"Executive Numerical Reasoning Test - Management","https://www.shl.com/assessments/executive-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at executive level",33,"Cognitive; Ability","Yes","Yes"
"Executive Numerical Reasoning Test - Technical","https://www.shl.com/assessments/executive-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at executive level",32,"Cognitive; Ability","Yes","Yes"
"Executive Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/executive-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at executive level",30,"Cognitive; Ability","Yes","Yes"
"Executive Numerical Reasoning Test - Finance","https://www.shl.com/assessments/executive-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at executive level",37,"Cognitive; Ability","Yes","Yes"
"Executive Numerical Reasoning Test - HR","https://www.shl.com/assessments/executive-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at executive level",25,"Cognitive; Ability","Yes","Yes"
"Executive Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/executive-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at executive level",26,"Cognitive; Ability","Yes","Yes"
"Graduate Numerical Reasoning Test - Sales","https://www.shl.com/assessments/graduate-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at graduate level",34,"Cognitive; Ability","No","Yes"
"Graduate Numerical Reasoning Test - Management","https://www.shl.com/assessments/graduate-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at graduate level",42,"Cognitive; Ability","No","Yes"
"Graduate Numerical Reasoning Test - Technical","https://www.shl.com/assessments/graduate-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at graduate level",27,"Cognitive; Ability","No","Yes"
