Query,Assessment_url
"I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes","https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/"
"I want to hire new graduates for a sales role in my company, the budget is for about an hour for each test. Give me some options","https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-gift-out-7-1/,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/"
"I am looking for a COO for my company in China and I want to see if they are culturally a right fit for our company. Suggest me an assessment that they can complete","https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/"
"ICICI Bank Assistant Admin, Experience required 0-2 years, test should be 30-40 mins long","https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/"
"We're looking for a Marketing Manager who can drive Recro's brand positioning, community growth, and overall marketing strategy to fuel business growth.","https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/"
"Based on the JD below recommend me assessment for the Consultant position in my organizations. The assessment should not be more than 90 mins","https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/"
"I want to hire a Senior Data Analyst with 5 years of experience and expertise in SQL, Excel and Python. The assessment can be 1-2 hour long","https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,https://www.shl.com/solutions/products/product-catalog/view/python-new/"
"Content Writer required, expert in English and SEO.","https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/"
"Find me 1 hour long assessment for the below job at SHL - Join a community that is shaping the future of work! SHL, People Science, People Answer","https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/"
"KEY RESPONSIBILITIES: Manage the sound-scape of the station through appropriate creative and marketing interventions to increase or Maintain the listenership","https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/"
